Report_Name	Multimedia Item Requests
Report_ID	IR_M1
Release	5
Institution_Name	University Of Prince Edward Island
Institution_ID	Silverchair:19464
Metric_Types	Total_Item_Requests
Report_Filters	Access_Method=Regular; Data_Type=Multimedia
Report_Attributes	
Exceptions	3031: Usage Not Ready for Requested Dates (); 3030: No Usage Available for Requested Dates ()
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T00:00:00Z
Created_By	Silverchair

Item	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	URI	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
