Report_Name	Platform Usage
Report_ID	PR_P1
Release	5
Institution_Name	
Institution_ID	AMS:UPEIS*CHA
Metric_Types	No_License; Searches_Platform; Total_Item_Investigations; Total_Item_Requests; Unique_Item_Investigations; Unique_Item_Requests; Unique_Title_Investigations; Unique_Title_Requests
Report_Filters	Data_Type=Book; Data_Type=Journal; Access_Method=Regular
Report_Attributes	
Exceptions	
Reporting_Period	
Created	2024-02-29T05:46:43-05:00
Created_By	American Mathematical Society

Platform	Metric_Type	Reporting_Period_Total	Jan-2024
