Report_Name	Platform Master Report
Report_ID	PR
Release	5
Institution_Name	Univ Of Prince Edward Island
Institution_ID	cabi:59221
Metric_Types	
Report_Filters	
Report_Attributes	Attributes_To_Show=Data_Type|Access_Method
Exceptions	3031: Usage Not Ready for Requested Dates (Requested data between 2024-02-01 and 2024-02-29. However only data between 2022-04-01 and 2024-01-31 exists.)
Reporting_Period	Begin_Date=2024-01-01; End_Date=2024-02-29
Created	2024-03-01T05:38:10Z
Created_By	Atypon Systems LLC.

Platform	Data_Type	Access_Method	Metric_Type	Reporting_Period_Total	Jan-2024	Feb-2024
CABI Digital Library	Platform	Regular	Searches_Platform	63	63	0
CABI Digital Library	Book	Regular	Unique_Title_Investigations	12	12	0
CABI Digital Library	Book	Regular	Unique_Title_Requests	10	10	0
CABI Digital Library	Book	Regular	Unique_Item_Investigations	12	12	0
CABI Digital Library	Book	Regular	Unique_Item_Requests	10	10	0
CABI Digital Library	Book	Regular	Total_Item_Requests	10	10	0
CABI Digital Library	Book	Regular	Total_Item_Investigations	12	12	0
CABI Digital Library	Database	Regular	Unique_Item_Investigations	16	16	0
CABI Digital Library	Database	Regular	Unique_Item_Requests	16	16	0
CABI Digital Library	Database	Regular	Total_Item_Requests	19	19	0
CABI Digital Library	Database	Regular	Total_Item_Investigations	19	19	0
CABI Digital Library	Journal	Regular	Unique_Item_Investigations	11	11	0
CABI Digital Library	Journal	Regular	Unique_Item_Requests	8	8	0
CABI Digital Library	Journal	Regular	Total_Item_Requests	10	10	0
CABI Digital Library	Journal	Regular	Total_Item_Investigations	13	13	0
