Report_Name	Book Requests (Excluding OA_Gold)
Report_ID	TR_B1
Release	5
Institution_Name	University of Prince Edward Island
Institution_ID	ar:106712
Metric_Types	Total_Item_Requests; Unique_Title_Requests
Report_Filters	Access_Method=Regular; Access_Type=Controlled; Data_Type=Book
Report_Attributes	
Exceptions	3030: No Usage Available for Requested Dates (Requested data between 2024-01-01 and 2024-01-31)
Reporting_Period	End_Date=2024-01-31; Begin_Date=2024-01-01
Created	2024-02-23T04:31:33Z
Created_By	Atypon Systems LLC.

Title	Publisher	Publisher_ID	Platform	DOI	Proprietary_ID	ISBN	Print_ISSN	Online_ISSN	URI	YOP	Metric_Type	Reporting_Period_Total	Jan-2024
